sgRNA	Gene	D1_MOI2_High	D1_MOI2_Low_Mid	D1_MOI2_Low	D1_MOI2_Mid_High	D2_MOI2_High	D2_MOI2_Low_Mid	D2_MOI2_Low	D2_MOI2_Mid_High	D1_MOI5_High	D1_MOI5_Low_Mid	D1_MOI5_Low	D1_MOI5_Mid_High	D2_MOI5_High	D2_MOI5_Low_Mid	D2_MOI5_Low	D2_MOI5_Mid_High	D3_MOI2_High	D3_MOI2_Low_Mid	D3_MOI2_Low	D3_MOI2_Mid_High	D4_MOI2_High	D4_MOI2_Low_Mid	D4_MOI2_Low	D4_MOI2_Mid_High	D3_MOI5_High	D3_MOI5_Low_Mid	D3_MOI5_Low	D3_MOI5_Mid_High	D4_MOI5_High	D4_MOI5_Low_Mid	D4_MOI5_Low	D4_MOI5_Mid_High
s_3427	SOX18	1527	4286	4189	897	2928	7072	8663	3355	4332	5753	10211	3539	894	1418	2589	1740	4523	6662	8289	4005	4761	7981	11799	6378	1914	10890	10476	1478	2130	2399	2051	2756
s_5078	ZNF860	1177	4939	4406	679	5642	4053	6147	3789	4567	7930	16991	7470	951	1440	1377	2174	1350	2668	3828	1757	3118	5600	6885	3569	1852	8298	8512	1004	2493	2773	3738	2809
s_2332	ZNF76	1584	5043	3188	831	5109	7452	5839	5341	3283	5847	3419	4306	562	1896	2335	1262	4943	3951	7747	2972	2526	4836	6992	3813	4119	11369	7702	2311	1881	4094	4498	4153
s_3671	ZBTB26	1408	5151	5750	862	5061	12106	9932	5615	4164	11255	11389	6204	1010	2088	2299	1967	3265	5022	11356	4090	3509	8458	11994	7333	4519	14212	10999	1860	4456	5580	5600	6964
s_3103	SATB2	2191	5883	6859	1086	6069	13611	13723	7013	6709	9737	14775	4330	1248	3826	4560	2845	2266	5180	12768	2108	2354	8473	12678	6115	4220	11473	10661	1757	3701	5001	6025	4716
s_292	DLX2	1793	4455	5404	971	4875	12770	12271	7325	6384	11644	18177	5470	520	1348	1434	1675	2510	4437	9894	1669	5633	8302	12171	6914	4369	8780	7195	1578	4432	5691	5940	5499
s_615	GBX1	1580	4540	4379	1059	3445	7026	7326	3442	5287	11012	3885	3940	686	1057	1903	1678	3831	10249	7980	4995	2903	6432	5856	4314	2267	4212	3118	799	3754	3082	3663	3385
s_5520	Non-Targeting Control	1303	4363	5847	762	6809	7470	9877	5015	4342	9197	2010	4564	937	2531	2474	1983	8125	10823	12147	4627	3577	10636	12024	5438	2065	9979	6413	1864	6837	8098	7005	7507
s_5920	Non-Targeting Control	1350	4184	3165	593	2213	4172	4952	2641	2329	8797	8702	3291	326	1306	1521	778	1934	3641	9553	1347	4480	6985	10573	4910	2032	4246	3829	806	1574	2836	4096	2265
s_3590	LHX9	984	2768	2955	503	3058	7457	6035	2720	2567	6420	7302	3295	637	1474	883	1297	2044	5447	7347	1144	3680	6534	6573	3501	3752	6366	5355	1109	2800	3118	3806	1991
s_5311	ZNF705D	1586	4258	4813	927	3867	8940	4232	3083	8534	7526	4572	4362	797	1306	1446	1488	2885	4563	11272	3027	2244	6778	8790	4383	4369	8095	4438	1681	3838	3834	4994	4763
s_2857	ZBTB18	1437	5199	6315	1022	4503	8608	6591	4250	6987	8594	17216	5599	704	2150	3282	2172	6150	8820	11353	3475	4923	11163	13166	5006	2702	6622	3454	1328	3226	4005	5483	3437
s_5259	ZNF704	1662	5013	4436	1047	6014	9933	10197	5329	4158	6474	23241	5120	791	2562	2443	1989	5508	10470	12014	5036	2010	7838	8763	5923	2171	7225	6566	1219	4412	5518	6632	5097
s_1494	PAX9	851	2778	1518	699	2638	5693	7368	2261	3532	9263	3723	3379	995	672	1161	1007	1434	2102	6271	894	2653	5065	5182	4672	1538	5424	5022	1092	2044	3985	4604	2811
s_5118	TBPL2	861	2728	2446	515	3065	3504	8553	1752	3155	8220	14237	4663	446	1192	1401	1504	3903	4504	7284	3949	2540	3072	5649	2617	1887	3486	3139	770	1544	2053	2813	2055
s_4039	ZNF436	1358	3980	3475	855	5684	6634	8450	5381	3145	13939	21800	3472	788	1473	1559	1712	2538	4519	4862	3023	5292	7380	7682	5396	2011	6418	6397	959	2869	4194	5162	4330
s_1779	SHOX2	1121	3875	3740	666	4149	6449	6157	2639	4214	5521	7200	1912	340	1416	1253	1102	1748	4350	7039	2196	2136	4305	5923	2866	1768	6836	5299	1391	2622	1600	3043	1980
s_1811	SMARCB1	1830	5756	4052	955	13203	9080	6397	7175	5710	8983	16439	6425	1495	1880	1515	1916	3073	4445	5484	2391	3833	8128	11767	6163	3203	5349	4751	1562	4870	5975	4502	5427
s_2720	ZNF254	2654	5696	6043	1214	6882	12880	11923	8515	6354	18388	14642	7195	1314	2663	2786	2683	3809	9377	16925	3816	4548	7375	11365	4236	3579	9084	9194	1859	3696	3736	5538	3685
s_376	ELF2	838	3284	2592	641	2780	4555	3945	2532	3353	6246	9536	2325	468	973	1016	1238	2227	1916	6606	2150	1576	4912	6282	2768	2507	4634	2972	820	1939	3211	3962	3736
s_3921	ZNF768	1557	4521	5144	707	8227	8892	7428	4353	3935	11712	17266	7401	702	3388	3682	2474	2465	3700	5516	2632	3589	7588	11616	7383	2228	7074	6851	1351	4175	5963	6496	4442
s_3	ABCF1	1106	7066	3711	1540	3242	7473	7981	3170	2794	7240	1700	3356	630	1421	1964	1245	1711	3899	7675	2556	4242	4054	6534	4041	2691	4002	2452	1094	2888	3053	4358	3603
s_1066	IL17A	2107	7516	5482	1531	3889	5395	11964	5105	4182	10639	12375	4871	1049	1432	1894	1662	4303	5495	10729	2250	3562	8282	7456	7548	3031	9440	6523	1303	4102	4107	5015	3372
s_4550	ZNF417	1693	4392	5936	804	5178	9349	6409	5045	5121	10631	8689	5403	622	2575	3271	1884	2707	7867	14129	4077	3608	7873	9439	3761	5139	9278	5734	1852	4793	6289	7027	6349
